episode,step,front,back,state,allowed_actions,action,reward,next_front,next_back,next_state,q_value,epsilon
1,2,154,154,F:near|B:clear,turn_left|turn_right,turn_right,-4.0,158,154,F:near|B:clear,-0.4265,0.15
1,3,158,154,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,157,154,F:near|B:clear,-0.4265,0.15
1,4,157,154,F:near|B:clear,turn_left|turn_right,turn_right,-4.0,156,153,F:near|B:clear,-0.4265,0.15
1,5,156,153,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,155,154,F:near|B:clear,-0.4265,0.15
1,6,155,154,F:near|B:clear,turn_left|turn_right,turn_left,-8.0,154,154,F:near|B:clear,-1.1465,0.15
1,7,154,154,F:near|B:clear,turn_left|turn_right,turn_right,-4.0,154,154,F:near|B:clear,-0.4265,0.15
1,8,154,154,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,155,154,F:near|B:clear,-0.4265,0.15
1,9,155,154,F:near|B:clear,turn_left|turn_right,turn_left,-8.0,155,154,F:near|B:clear,-1.1465,0.15
1,10,155,154,F:near|B:clear,turn_left|turn_right,turn_right,-4.0,156,153,F:near|B:clear,-0.4265,0.15
1,11,156,153,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,155,154,F:near|B:clear,-0.4265,0.15
1,12,155,154,F:near|B:clear,turn_left|turn_right,turn_left,-8.0,155,154,F:near|B:clear,-1.1465,0.15
1,13,155,154,F:near|B:clear,turn_left|turn_right,turn_right,-4.0,157,154,F:near|B:clear,-0.4265,0.15
1,14,157,154,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,156,154,F:near|B:clear,-0.4265,0.15
1,15,156,154,F:near|B:clear,turn_left|turn_right,turn_left,-8.0,170,138,F:near|B:clear,-1.1465,0.15
1,16,170,138,F:near|B:clear,turn_left|turn_right,turn_right,5.9,179,138,F:near|B:clear,1.3555,0.15
1,17,179,138,F:near|B:clear,turn_left|turn_right,turn_right,-8.0,135,138,F:near|B:clear,-0.1138,0.15
1,18,135,138,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,99,143,F:danger|B:clear,0.1207,0.15
1,19,99,143,F:danger|B:clear,turn_left|turn_right,turn_right,12.8,127,153,F:near|B:clear,5.4304,0.15
1,20,127,153,F:near|B:clear,turn_left|turn_right,turn_left,14.5,172,153,F:near|B:clear,2.9035,0.15
1,21,172,153,F:near|B:clear,turn_left|turn_right,turn_left,-8.0,112,153,F:near|B:clear,1.4008,0.15
1,22,112,153,F:near|B:clear,turn_left|turn_right,turn_right,12.8,140,153,F:near|B:clear,2.7719,0.15
1,23,140,153,F:near|B:clear,turn_left|turn_right,turn_right,-8.0,121,153,F:near|B:clear,1.272,0.15
1,24,121,153,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,95,153,F:danger|B:clear,1.2888,0.15
